@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.supervised.instance.SMOTE-C0-K3-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K3-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K3-P93.0-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
53,entrepreneur,married,unknown,no,28,no,no,cellular,31,jul,117,2,-1,0,no
54.952544,blue-collar,married,secondary,no,456.055078,no,no,cellular,17.637603,jul,657.550655,1.389538,-1,0,yes
35.374557,management,divorced,secondary,no,920.243128,yes,no,cellular,12.459689,may,893.369983,2.747267,363.489099,4.187967,yes
27.736437,management,single,tertiary,no,786.828491,yes,no,cellular,11.059179,may,564.552039,2.933269,-1,0,yes
34,services,married,secondary,no,2211,no,no,unknown,8,may,149,1,-1,0,no
38.261356,admin.,single,secondary,no,2409.822452,yes,no,cellular,25.989178,oct,266.163464,5.432178,176.73448,2.950161,yes
48,blue-collar,married,primary,no,559,yes,no,unknown,15,may,1231,2,-1,0,no
59,technician,married,secondary,no,2308,no,no,cellular,30,apr,815,1,87,1,yes
32,technician,married,secondary,no,485,no,no,cellular,26,aug,98,14,-1,0,no
48,technician,married,tertiary,no,9207,no,no,cellular,18,aug,445,3,-1,0,no
30,blue-collar,single,primary,no,71,yes,no,unknown,19,may,122,6,-1,0,no
29,management,married,tertiary,no,451,no,no,cellular,28,jan,451,1,-1,0,no
33,housemaid,married,primary,no,212,yes,no,cellular,11,jul,260,2,-1,0,no
61,self-employed,divorced,tertiary,no,6610,no,no,cellular,24,feb,481,2,-1,0,yes
50.304778,management,married,tertiary,no,2274.725994,yes,no,cellular,18.161057,apr,1080.595743,13.31595,-1,0,yes
35,blue-collar,married,secondary,no,243,yes,no,cellular,20,apr,41,3,-1,0,no
37.6634,blue-collar,married,secondary,no,2033.774691,yes,no,cellular,11.590739,may,757.400759,2,-1,0,yes
59,admin.,married,secondary,no,2381,no,no,cellular,30,apr,173,2,-1,0,no
54.966651,management,single,tertiary,no,312.493129,no,no,cellular,22.710235,apr,637.349379,1.138089,78.776415,0.587008,yes
36,technician,married,tertiary,no,60,no,no,cellular,19,aug,209,2,-1,0,no
50,self-employed,married,secondary,no,3025,no,yes,cellular,6,aug,168,3,-1,0,no
69.606845,technician,married,secondary,no,1143.325315,no,no,cellular,13.641772,may,196.893023,3.002894,-1,0,yes
45.901887,services,divorced,secondary,no,290.544635,no,no,unknown,16.983907,may,1939.084472,2.989858,-1,0,yes
32,unemployed,divorced,primary,no,0,no,no,cellular,15,jul,175,4,-1,0,no
41.421399,management,married,secondary,no,1540.73979,no,no,cellular,10.092375,oct,237.421216,1,163.504254,4.032763,yes
50.574909,management,single,primary,no,1172.893761,no,no,unknown,14.831846,jun,1610.745746,1,-1,0,yes
36,services,single,secondary,no,398,yes,yes,unknown,17,jun,77,2,-1,0,no
47,admin.,married,secondary,no,2,no,no,cellular,10,jul,89,1,-1,0,no
60,services,married,tertiary,no,4256,yes,no,cellular,16,aug,239,3,761,1,yes
48,blue-collar,single,primary,no,316,no,no,unknown,5,jun,560,2,-1,0,no
51,blue-collar,married,secondary,no,2237,yes,no,unknown,29,may,619,1,-1,0,no
59.067469,management,married,tertiary,no,1339.498669,no,no,cellular,16.04187,jun,367.686346,5.078223,7.503302,0.627329,yes
34,admin.,married,secondary,no,1499,yes,no,cellular,13,apr,186,1,327,2,no
33,technician,married,secondary,no,4790,yes,no,cellular,20,apr,137,1,272,2,no
51.603665,admin.,married,secondary,no,892.595086,no,no,cellular,7.142515,oct,338.288693,1.009302,-1,0,yes
57,blue-collar,married,primary,no,5431,yes,yes,unknown,6,may,383,1,-1,0,no
49,technician,married,secondary,yes,-1680,yes,yes,unknown,27,jun,92,4,-1,0,no
58,housemaid,single,tertiary,no,145,yes,yes,cellular,16,jul,128,2,-1,0,no
41,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,no
33,blue-collar,married,secondary,no,640,yes,no,cellular,3,feb,439,3,-1,0,no
32,admin.,married,secondary,no,3540,yes,no,cellular,18,may,213,1,178,1,no
41.976843,management,single,tertiary,no,4956.563131,no,no,cellular,3.858706,oct,307.719189,3.394404,23.83627,0.022073,yes
28,technician,single,tertiary,no,183,yes,yes,unknown,28,may,62,2,-1,0,no
41.504391,blue-collar,married,secondary,no,2345.574512,yes,no,cellular,20.099652,may,788.695285,3.47533,3.831201,0.005545,yes
30,blue-collar,married,primary,no,-518,yes,yes,unknown,28,may,244,6,-1,0,no
25,technician,single,secondary,no,2157,yes,no,cellular,21,jul,339,1,-1,0,no
59.663755,management,married,secondary,no,-17.348481,yes,no,cellular,17.034648,may,655.933022,1.143587,193.473765,1,yes
31,blue-collar,married,secondary,no,1766,no,yes,cellular,5,jun,166,2,-1,0,yes
47,entrepreneur,married,tertiary,no,459,yes,no,cellular,29,jul,189,4,-1,0,no
34,technician,single,secondary,no,943,no,no,cellular,29,aug,96,4,-1,0,no
29.920753,management,single,tertiary,no,583.524937,no,no,cellular,16.09089,jun,324.856101,1.083154,193.427322,1.071257,yes
30,management,single,tertiary,no,2186,yes,no,unknown,3,jun,366,1,-1,0,no
35.531101,technician,single,secondary,no,1649.036732,no,no,cellular,21.212692,oct,789.381714,1.938269,36.858433,0.814313,yes
49.746961,technician,married,secondary,no,1186.745005,no,no,cellular,3.027273,may,260.260794,2.224001,-1,0,yes
44,unknown,married,secondary,no,2319,no,no,cellular,4,aug,251,3,-1,0,no
38,management,single,tertiary,no,1704,no,no,cellular,1,sep,222,1,-1,0,no
48,blue-collar,married,primary,no,574,no,no,cellular,5,aug,348,1,-1,0,no
36.803371,management,single,tertiary,no,5235.82447,no,no,cellular,15.559323,oct,214.014198,6.440188,95.439893,2.921616,yes
19,student,single,secondary,no,302,no,no,cellular,16,jul,205,1,-1,0,yes
56,retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,no
35.187473,blue-collar,single,secondary,no,-28.841835,yes,no,cellular,16.335672,may,1142.032174,1.857237,293.671207,2.872522,yes
43,management,married,secondary,no,481,yes,no,telephone,18,nov,164,1,110,2,no
41.040575,unemployed,married,secondary,no,880.809903,no,no,cellular,10.012448,feb,689.828276,1.934324,180.391499,3.976472,yes
32.705508,services,single,secondary,no,133.548637,no,no,cellular,5.213576,may,202.508721,1,-1,0,yes
48.863658,technician,married,secondary,no,201.154896,no,no,cellular,12.327797,jun,223.168923,1.825854,35.090125,0.641717,yes
49,admin.,married,secondary,no,2465,no,no,cellular,20,aug,157,3,-1,0,no
19.430081,student,single,secondary,no,327.180344,no,no,cellular,25.067779,may,173.207047,3.85833,-1,0,yes
33,admin.,single,secondary,no,894,no,no,cellular,5,feb,509,2,-1,0,no
55,admin.,married,secondary,no,0,no,no,cellular,23,sep,180,2,238,3,no
50,entrepreneur,married,secondary,no,665,no,no,telephone,17,nov,238,1,-1,0,no
47,admin.,married,secondary,no,104,yes,yes,cellular,14,jul,77,2,-1,0,no
60.46379,admin.,married,secondary,no,0,no,no,cellular,13.877077,oct,227.396963,1.584218,-1,0,yes
37,unemployed,single,tertiary,yes,0,yes,no,cellular,10,jul,108,1,-1,0,no
47,admin.,married,secondary,no,310,yes,yes,telephone,14,aug,128,6,-1,0,no
32,management,married,tertiary,no,0,no,no,cellular,19,nov,66,1,-1,0,no
32.244119,services,married,primary,no,458.574631,yes,no,cellular,7.880847,may,625.453303,2.853294,293.075315,1.041933,yes
49,management,married,tertiary,no,92,yes,no,unknown,6,may,221,2,-1,0,no
29.890047,blue-collar,married,secondary,no,510.225215,no,no,cellular,12.448915,jul,678.739545,2.066275,-1,0,yes
34,blue-collar,married,primary,no,79,yes,no,cellular,14,may,406,2,-1,0,no
50.306316,admin.,married,secondary,no,894.220799,no,no,cellular,7,oct,336.949616,1,-1,0,yes
35,technician,single,secondary,no,126,no,no,cellular,22,aug,112,2,-1,0,no
47,housemaid,married,primary,no,201,yes,no,cellular,7,aug,58,2,382,1,no
57,retired,married,primary,no,5799,no,no,unknown,17,jun,97,1,-1,0,no
39.301506,technician,single,secondary,no,7104.088338,no,no,cellular,13.576393,aug,709.165614,2.99297,320.920625,2.322265,yes
46.007884,management,married,primary,no,357.868743,no,no,cellular,17.578357,may,783.027933,5.232631,-1,0,yes
32.569888,unemployed,married,primary,no,3310.6733,no,no,cellular,10.23542,apr,310.777271,1.685233,64.615243,0.87858,yes
41,admin.,single,tertiary,no,982,no,no,cellular,23,jul,105,1,-1,0,no
39.139236,management,married,tertiary,no,616.704207,no,no,cellular,18.535067,jun,298.303874,3.897255,105.366555,3.568266,yes
64.387171,self-employed,married,tertiary,no,4711.331905,no,no,cellular,11.31795,apr,188.58536,1,-1,0,yes
32,blue-collar,married,secondary,no,1905,yes,no,cellular,16,jul,709,2,-1,0,yes
41.99589,services,divorced,secondary,no,305.871924,no,no,unknown,15.63545,may,1940.730361,3.003272,-1,0,yes
30,admin.,married,secondary,no,0,no,no,cellular,15,jul,127,5,-1,0,no
32.351554,technician,married,secondary,no,4552.084227,yes,no,cellular,19.981964,may,823.854347,1.746634,-1,0,yes
58,blue-collar,married,primary,no,23,yes,no,unknown,20,may,91,6,-1,0,no
43.790261,retired,single,tertiary,no,694.032331,no,no,cellular,28.019288,may,147.243492,1.013249,99.40781,1.077887,yes
31,management,married,tertiary,no,4945,no,no,cellular,11,aug,445,1,-1,0,no
45.999861,management,married,secondary,no,16.386701,no,no,cellular,21.67666,aug,387.897808,5.805107,-1,0,yes
43,blue-collar,married,secondary,no,2160,no,no,cellular,8,sep,261,1,98,1,yes
48,services,single,unknown,no,5095,yes,no,unknown,16,jun,71,1,-1,0,no
28,technician,single,secondary,no,227,no,no,cellular,30,apr,278,1,-1,0,yes
43,unknown,single,tertiary,no,2731,no,no,cellular,21,nov,11,7,-1,0,no
35.592561,management,divorced,secondary,no,0,yes,no,cellular,24.154551,oct,159.593695,1.408738,-1,0,yes
42,admin.,married,secondary,no,-396,yes,no,cellular,11,may,80,1,308,4,no
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283,1,-1,0,no
49.754983,blue-collar,married,primary,no,205.933419,yes,no,cellular,19.883641,may,673.518358,3.750447,335.483476,2.154842,yes
38,blue-collar,married,secondary,no,1663,yes,no,cellular,13,apr,217,3,327,1,no
54.83523,management,divorced,primary,no,-351.068961,no,no,cellular,29.525474,may,841.786615,1.573927,-1,0,yes
45.493989,management,married,secondary,no,3631.563382,no,no,cellular,17.064172,nov,728.148469,2.949428,-1,0,yes
37.841023,management,married,tertiary,no,755.349211,yes,no,cellular,8.297325,may,763.06386,2.807865,322.375797,2,yes
37,management,divorced,secondary,no,414,no,no,cellular,29,jan,293,2,162,4,no
57,blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,231,5,-1,0,no
53,self-employed,married,tertiary,no,2627,yes,yes,unknown,16,jun,18,30,-1,0,no
28,entrepreneur,married,unknown,no,1034,no,no,cellular,29,jan,113,1,-1,0,no
64.014318,retired,married,tertiary,no,14296.720782,no,no,cellular,11.431224,sep,432.377033,1.011151,-1,0,yes
34.447707,management,married,tertiary,no,5454.317029,no,no,cellular,21.113933,oct,459.526375,3.857484,-1,0,yes
52,services,single,secondary,no,1810,no,no,telephone,19,nov,117,1,-1,0,no
26,services,single,secondary,no,512,yes,yes,cellular,30,jan,206,5,239,3,no
45,services,single,primary,no,1893,yes,no,unknown,3,jun,1259,6,-1,0,yes
40,management,single,tertiary,no,36,yes,no,unknown,27,may,240,3,-1,0,no
41,management,married,tertiary,no,832,yes,yes,cellular,21,nov,164,1,176,1,no
36.031328,management,married,tertiary,no,1144.338612,no,no,cellular,13.644243,apr,334.158198,1,215.926243,2.50842,yes
58,housemaid,married,primary,no,0,yes,no,telephone,9,jul,148,1,-1,0,no
32,management,single,tertiary,no,131,no,no,unknown,3,jun,267,3,-1,0,no
43,blue-collar,divorced,primary,no,92,yes,no,unknown,15,may,237,2,-1,0,no
38,technician,single,secondary,no,311,yes,no,cellular,28,may,61,2,-1,0,no
39.085518,management,married,tertiary,no,2.779017,no,no,cellular,26.644997,oct,498.562083,1,-1,0,yes
28.163018,services,single,secondary,no,150.503571,no,no,cellular,1.420818,jun,344.024491,2.269729,147.086322,2.969113,yes
40,technician,married,secondary,no,-396,yes,no,unknown,26,may,127,1,-1,0,no
29.339832,admin.,married,secondary,no,251.664528,no,no,cellular,23.002273,oct,412.55541,1,19.499906,0.01897,yes
57.280081,retired,married,tertiary,no,8313.135811,no,no,telephone,5.902776,jun,256.294316,1.04791,12.745477,0.679946,yes
55.721753,management,married,tertiary,no,9618.486512,no,no,cellular,7.244345,jun,360.951487,2.355054,13.402131,0.451135,yes
47,blue-collar,married,primary,no,320,no,no,telephone,30,jul,203,2,-1,0,no
33,blue-collar,married,secondary,no,0,yes,yes,cellular,28,jul,83,12,-1,0,no
33,blue-collar,divorced,primary,no,142,yes,no,telephone,11,may,41,2,300,5,no
29,entrepreneur,married,secondary,no,452,yes,no,unknown,27,may,347,1,-1,0,no
49,housemaid,married,primary,no,249,yes,no,cellular,21,nov,450,1,-1,0,no
47,self-employed,married,unknown,no,14,yes,no,cellular,15,may,142,1,-1,0,no
35.021399,admin.,divorced,secondary,no,-249.01174,no,no,cellular,19.313925,jul,606.937933,1,109.653546,0.400732,yes
44,management,divorced,tertiary,no,-710,yes,no,cellular,10,jul,183,1,-1,0,no
31.063826,management,single,tertiary,no,808.629123,yes,no,cellular,16.479788,may,563.287946,1,-1,0,yes
49,entrepreneur,divorced,secondary,no,32,no,no,cellular,5,feb,128,1,-1,0,no
40.999815,blue-collar,married,primary,no,1189.754914,no,no,cellular,17.230987,apr,348.684253,1,234.173083,3.281976,yes
46.552292,services,single,secondary,no,278.31259,no,no,cellular,9.329859,aug,1752.166562,4,-1,0,yes
45,admin.,single,secondary,no,-11,yes,no,cellular,5,may,247,1,-1,0,no
50.02721,management,divorced,tertiary,no,12.118606,no,no,cellular,19.898694,apr,76.4488,1.090271,-1,0,yes
33,blue-collar,single,primary,no,599,yes,no,unknown,21,may,29,1,-1,0,no
26,blue-collar,married,primary,no,5116,yes,no,cellular,22,jul,246,3,-1,0,no
54.783289,retired,married,tertiary,no,14455.780704,no,no,cellular,12.476028,sep,539.035486,1.066303,-1,0,yes
41.937767,management,married,secondary,no,1154.663224,no,no,cellular,19.390634,apr,376.872721,1,178.838077,1.491126,yes
44,technician,married,secondary,no,10888,yes,no,cellular,5,aug,163,1,-1,0,no
30.463378,management,married,tertiary,no,1401.739466,no,no,cellular,25.521565,apr,297.713575,1.816389,97.938032,2.225303,yes
47,self-employed,married,secondary,no,1121,no,no,unknown,20,jun,454,6,-1,0,no
38.754875,blue-collar,married,secondary,no,2326.48185,yes,no,cellular,17.655701,may,750.445256,3.639883,1.054229,0.00232,yes
30,blue-collar,single,primary,no,185,no,no,unknown,26,jun,11,1,-1,0,no
36.740508,technician,married,secondary,no,6970.676899,no,no,cellular,13.70363,may,226.865689,2.580418,164.785126,4,yes
53.43789,blue-collar,married,secondary,no,2145.1683,no,no,cellular,13.130521,sep,400.031095,1,124.973882,2.742369,yes
50,self-employed,divorced,tertiary,no,13,yes,no,cellular,20,apr,76,1,-1,0,yes
35,technician,single,secondary,no,450,yes,no,cellular,13,may,63,1,-1,0,no
48,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,no
34,admin.,single,secondary,no,852,no,no,cellular,14,apr,108,2,-1,0,no
40,management,single,unknown,no,838,yes,no,unknown,12,may,619,3,-1,0,no
40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267,4,270,3,no
45.973722,retired,married,primary,no,209.179048,no,no,cellular,19.416172,oct,81.350509,1.346593,-1,0,yes
47,blue-collar,divorced,secondary,yes,-535,yes,no,cellular,30,jul,71,2,-1,0,no
37.08349,management,married,secondary,no,612.396918,yes,no,cellular,4.188743,may,393.86327,1.90983,378.031247,1.191891,yes
72,retired,married,primary,no,796,no,no,cellular,24,apr,173,2,-1,0,no
55.524316,blue-collar,married,secondary,no,3805.301663,no,no,cellular,21.266153,apr,275.625356,1.937779,113.886941,0.084206,yes
41.105876,services,single,secondary,no,421.911126,no,no,cellular,18.714625,aug,1876.705919,3.080615,-1,0,yes
42.854966,unemployed,married,secondary,no,2816.5534,no,no,cellular,29.952405,aug,823.739534,2.186526,-1,0,yes
51.819562,management,married,tertiary,no,2202.732943,yes,no,cellular,17.995308,apr,991.447103,1.321883,-1,0,yes
74,retired,married,secondary,no,921,no,no,telephone,17,apr,394,2,-1,0,yes
28,admin.,married,secondary,no,934,yes,no,unknown,4,jul,53,2,-1,0,no
49,blue-collar,married,primary,no,371,yes,no,cellular,31,jul,18,44,-1,0,no
44,admin.,married,secondary,no,2403,yes,no,cellular,28,jan,180,2,-1,0,no
32,technician,single,tertiary,no,0,no,no,cellular,7,aug,268,2,-1,0,no
33.141232,technician,married,secondary,no,60.945094,no,no,cellular,22.744305,aug,816.537793,1.254494,-1,0,yes
42,blue-collar,married,primary,no,-10,yes,no,unknown,9,may,291,4,-1,0,no
49.529415,technician,married,secondary,no,22.665224,no,no,cellular,10.427625,oct,229.185859,2.789645,-1,0,yes
60,self-employed,married,primary,no,362,no,yes,cellular,29,jul,816,6,-1,0,yes
30.970089,management,single,secondary,no,0.034248,yes,no,cellular,17.517419,may,1040.26092,6.742899,-1,0,yes
32.738338,management,single,tertiary,no,2.81877,no,no,cellular,13.806951,apr,99.479138,2.532128,-1,0,yes
37,admin.,married,secondary,no,-107,yes,no,unknown,28,may,158,2,-1,0,no
53.519961,unemployed,married,primary,no,3373.043026,no,no,cellular,12.004847,apr,263.559719,1.997471,-1,0,yes
57,services,divorced,secondary,no,4664,no,no,cellular,21,nov,22,4,114,1,no
32,services,single,secondary,no,151.470894,no,no,cellular,19.578677,jun,169.607023,1.127026,-1,0,yes
71,retired,divorced,tertiary,no,261,no,no,cellular,12,aug,1117,2,-1,0,no
